Sport,Family,1614,1618,2350,All Stores
PILATES,BOY EDUCATIONAL GYM COLD WEATHER APP,1.0,0.973384030418251,0,0.9814814814814815
Others,WOMEN HORSE RIDING GLOVES,1.0,0.96,0,0.9655172413793104
TRAIL,TRAIL RUNNING EQUIPMENT,0.6341463414634146,0.5609756097560976,0.27586206896551724,0.5135135135135135
JOG/RUN,ROAD RUNNING ACCESSORIES TO CARRY,0.5714285714285714,0.42857142857142855,0.0,0.3684210526315789
Others,RIDING JODPHUR/PADDOCK BOOTS,1.0,0.9102564102564102,0.0,0.9292035398230089
SKI,GIRL INTERMEDIATE ON PIST SKIING CLOTHS,0.84375,0.851063829787234,0,0.8481012658227848
HIKING/TREKKING,WOMEN SNOW HIKING WARM SHOES,0.8983050847457628,0.8695652173913043,0,0.8807947019867549
JOG/RUN,OCC MEN JOG COLD PROTECTION TEXTILE,0.6904761904761905,0.7818181818181819,0.5,0.7373737373737373
Others,"""FISHING KEEPNETS",0.0,0,0,0.0
HIKING/TREKKING,HIKING CAMP TENTS ACCESS,0.5,0.23076923076923078,0.09090909090909091,0.2647058823529412
JOG/RUN,MAN ROAD RUNNING CLOTHES,0.9115646258503401,0.8470588235294118,0.4155844155844156,0.7974947807933194
JOG/RUN,KIDS ATHLE COLD PROTECT CLOTHES,1.0,0.9895833333333334,0,0.9929577464788732
FOOTBALL,PARIS ST GERMAIN,0,1.0,0,1.0
TABLE_TENNIS,TT RACKETS BEGINNER,0.3333333333333333,0.7333333333333333,0.0,0.5454545454545454
Others,WOMAN RIDINGWEAR,1.0,0.8723404255319149,0.2,0.8532110091743119
RUGBY,PADS RUGBY MEN,0.8823529411764706,0.7346938775510204,0.46153846153846156,0.7380952380952381
Others,FEATHERS TRAINS,0.0,0,0,0.0
FITNESS,FITNESS CARDIO JUMPING ROPES,0.5,0.5,0.0,0.4
BOXING,PROTECTIONS,1.0,0.4117647058823529,0.2857142857142857,0.4594594594594595
HIKING/TREKKING,ADULT SNOW HIKING WARM SOCKS,1.0,0.9375,0,0.96875
FOOTBALL,FOOTBALL PADS,0.875,0.8214285714285714,0.7857142857142857,0.8333333333333334
SKATE/ROLLER,ADULT INLINE SKATE,1.0,0.8571428571428571,0.2,0.8717948717948718
HIKING/TREKKING,"""HIKING",0.0,0.0,0.0,0.0
TENNIS,MEN COOL APPAREL,0.9948717948717949,0.9953488372093023,0,0.9951219512195122
CROSSTRAIN,BODYWEIGHT ACCESSORIES,0.47058823529411764,0.4375,0.18181818181818182,0.38636363636363635
SWIMMING,SWIMMING GOGGLES OR MASKS,0.7654320987654321,0.6021505376344086,0.3333333333333333,0.5864978902953587
Others,COLD WEATHER RIDING GLOVES WOMAN AND JUN,1.0,1.0,0,1.0
Others,HORSE RIDING GLOVES JUNIOR,0,1.0,0,1.0
HIKING/TREKKING,BIVOUAC LIGHTS,0.8823529411764706,0.85,0.0,0.7441860465116279
CYCLING,KIDS LEARNING BIKE ACCESSORIES 1-6 YEARS,1.0,0.45714285714285713,0.09523809523809523,0.4722222222222222
TENNIS,JUNIOR COOL APPAREL,1.0,1.0,0,1.0
HIKING/TREKKING,"""CHILDREN MOUNTAIN HIKING FLEECES",0.0,0.0,0.0,0.0
BOXING,TRAINING MATERIEL,1.0,0.6666666666666666,0.75,0.7272727272727273
Others,RIDING HALTERS/LEADS,0,1.0,0,1.0
TABLE_TENNIS,TT RACKETS INTERMEDIATE,0,0.5555555555555556,0.0,0.3333333333333333
FITNESS,SIZE hangers,0,0.8,0,0.8
TABLE_TENNIS,TT RACKETS ADVANCED + BLADES & RUBBERS,0,0.7073170731707317,0.3333333333333333,0.6226415094339622
Others,JUNIOR SPORT WALKING SHOES,1.0,0.9705882352941176,0.0,0.9627906976744186
HIKING/TREKKING,BASE CAMP SLEEPING BAGS,0.725,0.6428571428571429,0.13636363636363635,0.5673076923076923
CYCLING,COOL WEATHER CITY CYCLING APPAREL & ACC,0,1.0,0,1.0
FITNESS,RECEPTION,0,1.0,0,1.0
HIKING/TREKKING,MEN NATURE HIKING JUMPERS/HOODIES,1.0,1.0,1.0,1.0
CYCLING,ROAD MTB BOTTLES,1.0,0.42857142857142855,0.07692307692307693,0.4
CYCLING,MEN WET WEATHER ROAD CYCLING APPAREL,1.0,1.0,0.0,0.7727272727272727
CYCLING,ADULT CROSS COUNTRY MTB SHOES,0,0.9333333333333333,0,0.9333333333333333
CYCLING,BIKE LIGHTS,1.0,0.6086956521739131,0.2222222222222222,0.5294117647058824
CYCLING,MID-SEASON ARMWARMER LEGWARMER ROAD,0.9285714285714286,1.0,0.8333333333333334,0.9523809523809523
SAILING,REGATTA COLD WEATHER WOMAN CLOTHES,1.0,0.8333333333333334,0.07142857142857142,0.7283950617283951
PILATES,TONING SMALL EQUIPMENT,0.5294117647058824,0.4166666666666667,0.041666666666666664,0.3617021276595745
BASKETBALL,MAN BASKETBALL FOOTWEAR,0.8542372881355932,0.922879177377892,0.48936170212765956,0.8444730077120822
FITNESS,PRODUCT IN SITUATION,0,0.6666666666666666,0,0.6666666666666666
SKI,BABY SLEDGE EQUIPMENT,0.8939393939393939,0.5428571428571428,0.0,0.7028985507246377
CYCLING,BIKE TURBO TRAINER,1.0,0.2857142857142857,0.0,0.26666666666666666
Others,TROUSERS/SHIRTS,1.0,0.9090909090909091,0.0,0.782608695652174
CYCLING,COLD WEATHER HEAD BAND,1.0,1.0,0,1.0
SKI,KID INTERMEDIATE ON PISTE SKIING CLOTHS,1.0,0.9615384615384616,0,0.975609756097561
HIKING/TREKKING,WOMEN SNOW HIKING WARM BOOTS,0.9032258064516129,1.0,0,0.9516129032258065
CYCLING,BIKE TOOLS MAINTENANCE,0,0.5714285714285714,0.0,0.36363636363636365
CYCLING,BIKE SADDLES,1.0,0.46153846153846156,0.0,0.4
HIKING/TREKKING,CHILDREN HIKING LOW SHOES,0.8596491228070176,0.7634408602150538,0.2765957446808511,0.7237936772046589
TENNIS,BAGS,0.7333333333333333,0.75,0.0,0.6216216216216216
HIKING/TREKKING,"""MEN MOUNTAIN HIKING LONG SLEEVES TS",0.0,0.0,0.0,0.0
HIKING/TREKKING,WOMEN MOUNTAIN HIKING SHOES,0.7012987012987013,0.7142857142857143,0.15151515151515152,0.6232558139534884
HIKING/TREKKING,"""MEN TREK MERINOS WOOL",0.0,0.0,0.0,0.0
JOG/RUN,WOMAN RUNNING UNDERWEAR,0.7094017094017094,0.7928994082840237,0.23404255319148937,0.6846846846846847
Others,FRESHWATER FISHING BANK STICKS,1.0,1.0,0,1.0
HIKING/TREKKING,"""WOM MOUNTAIN HIKING LONG SLEEVES TS",0.0,0.0,0.0,0.0
SKI,MEN'S JACKETS OR PANTS INTERMED. SKIERS,0.796875,0.7714285714285715,1.0,0.8
HIKING/TREKKING,"""WOMEN TREK MERINO WOOL",0.0,0.0,0.0,0.0
SKI,JUNIOR SKI AND SNOWBOARD SOCKS,1.0,0.9259259259259259,0,0.96
SKI,ADULTS SKI SOCKS,1.0,0.9375,0,0.9662921348314607
SKI,ADULT SKI AND SNOWBOARD HEADWEAR,1.0,0.8723404255319149,0.0,0.9032258064516129
SKI,ADULT ON PISTE SKIING GLOVES,1.0,0.8918918918918919,0.9166666666666666,0.9426751592356688
HIKING/TREKKING,MEN MOUNTAIN HIKING FLEECES,0.7885714285714286,0.8125,0.18421052631578946,0.7482837528604119
HIKING/TREKKING,WOMEN NATURE HIKING JUMPERS/HOODIES,0.9696969696969697,1.0,0,0.989010989010989
HIKING/TREKKING,WOMEN SNOW HIKING WARM PANTS & FLEECES,0.819047619047619,0.9629629629629629,0,0.9
CYCLING,SPORT TRAIL MTB HELMETS ADULT,1.0,1.0,0.36363636363636365,0.8409090909090909
Others,COLD WEATHER WOMAN RIDINGWEAR,1.0,1.0,0,1.0
HIKING/TREKKING,CHILDREN SNOW HIKING WARM SHOES & BOOTS,0.9619047619047619,0.95,0,0.9555555555555556
HIKING/TREKKING,"""WOMEN MOUNT TREK PADDED JACKET",0.0,0.0,0,0.0
HIKING/TREKKING,"""MEN MOUNT HIK TS",0.0,0.0,0.0,0.0
HIKING/TREKKING,MEN SNOW HIKING WARM PANTS & FLEECES,0.8120300751879699,0.9534883720930233,0.8571428571428571,0.8985915492957747
HIKING/TREKKING,MEN MOUNTAIN TREKKING OUTFIT,1.0,0.92,0.6666666666666666,0.8888888888888888
HIKING/TREKKING,BOY SNOW HIKING JACKETS & WARM PANTS,0.9285714285714286,0.9761904761904762,0,0.9603174603174603
CLIMBING,MOUNTAINEERING & BIG WALL BACKPACKS,1.0,0.8461538461538461,0.0,0.75
HIKING/TREKKING,HIKING/TREKKING POLES,0.8823529411764706,0.8571428571428571,0.2857142857142857,0.7777777777777778
SKI,JUNIOR SKI AND SNOWBOARD HEADWEAR,1.0,0.875,0,0.9344262295081968
CYCLING,BIKE STORAGE,1.0,1.0,0.0,0.6666666666666666
TABLE_TENNIS,TT FREE TABLES INTERMEDIATE,1.0,1.0,0.0,0.6
BOXING,PUNCHING BAGS,1.0,0.36363636363636365,0.125,0.3333333333333333
HIKING/TREKKING,ALTIMETER OR TREKKING GPS,1.0,1.0,1.0,1.0
